SIZEIS: 2048 1
-0 -0 0 1024
-0 -0 0 1024
-0 0 0 512
-0 -0 0 256
-0 -0 0 256
-0 -0 0 256
-0 0 0 128
-0 0 0 64
-0 0 0 64
-0 0 0 64
-0 0 0 32
-0 0 0 32
-0 0 0 32
-0 0 0 16
-0 0 0 8
-0 0 0 8
-0 0 0 8
-0 0 0 4
-0 0 0 4
-0 0 0 2
-0 0 0 2
32752 32752 -16383 2
-32752 32752 16383 2
-0 0 0 2
-32752 32768 16383 2
-32752 -32736 -16388 2
12.5 24.5 11 2
-0 0 0 8
-0 0 0 4
-0 0 0 4
-0 0 0 4
-0 0 0 2
-32752 -32752 -16387 2
65504 0.00390434 0 2
18 5 6 2
-0 0 0 8
-0 0 0 2
-0 0 0 2
-0 0 0 2
32752 32752 -16383 2
-32752 -32752 -16389 2
11.5 6.5 22 2
22 8 0 2
15.4922 9.5 38 2
-0 0 0 2
32768 -32752 16382 2
-0 0 0 2
-32752 -32752 -16386 2
15.9922 -2 17 2
13.5 -0.499756 52 2
16.4844 10.5 18 2
16.4844 2.49805 52 2
-0 0 0 2
32752 32752 -16383 2
5.5 11.5 -1 2
6.49609 20.5 1 2
32768 -32752 16381 2
2 -65504 -3 2
11.9922 10 21 2
3.99805 1.99902 44 2
8.99219 9 25 2
4.5 5.5 44 2
14.9922 8 33 2
1.99902 3.99805 58 2
1 9 49 2
-0.5 5.5 48 2
4.5 2.5 64 2
-7.5 5.5 62 2
-32752 -32720 -16388 2
7.49609 30.5 18 2
3.49805 0.499756 53 2
1.49902 2.49805 56 2
-1 13.9922 38 2
11.5 12.5 49 2
1.5 2.5 55 2
8.99219 0.999512 69 2
7.49609 3.49805 54 2
5.5 6.5 67 2
5 -1.99902 58 2
4.5 -0.499756 74 2
-3.5 9.49219 70 2
7 1 69 2
2.99805 4.99609 83 2
-0 8 80 2
4.04688 4.79688 58 4
2.49805 3.49805 71 2
-2 10.9922 72 2
1.99902 2.99805 83 2
4.49609 6.49609 84 2
6.49609 0.499756 75 2
5.99609 3.99805 82 2
3.99805 0.999512 80 2
7.49609 3.49805 87 2
2.32422 4.32422 92 4
-6.5 13.4922 68 2
3.99805 -4 67 2
-1.5 5.49609 90 2
-6.5 15.4922 79 2
8.99219 -8 81 2
5.49609 1.49902 89 2
2.99805 2.99805 73 2
6.99609 -1 88 2
3.49805 4.49609 97 2
-0.5 6.49609 102 2
2.5 6.5 106 2
-1 1.99902 111 2
-13 1.99902 90 2
15 6 88 2
-12 1.99902 96 2
12.5 -11.5 95 2
-0 0 0 128
-0 0 0 64
-0 0 0 32
-0 0 0 8
1.5 1.5 0 2
20.5 1.5 8 2
2.5 -2.5 1 2
16.5 3.5 14 2
7.5 7.5 45 2
5.49609 -2.5 55 2
14.9922 4.99609 57 2
-4.5 11.5 65 2
32752 -32752 16383 2
